fruit_type,freshness,temp_c,humidity_pct,mq135_co2_ppm,mq3_alcohol_ppm,mq4_methane_ppm,mq137_ammonia_ppm,mq138_benzene_ppm,spoilage_index
Orange,Fresh,17.4,75.9,164.7,14.8,8.3,1.6,8.9,0.173
Banana,Spoiled,19.5,65.8,1051.1,670.4,302.2,71.4,147.6,0.77
Apple,Fresh,30.1,70.2,224.0,20.9,14.9,3.3,7.5,0.003
Apple,Spoiled,12.3,64.0,1196.3,499.3,260.3,83.1,148.8,0.778
Banana,Fresh,24.2,61.5,186.9,15.5,11.6,6.3,2.8,0.013
Banana,Moderately Fresh,12.7,62.5,398.3,50.6,43.0,7.4,27.1,0.461
Apple,Fresh,25.3,87.5,271.7,17.4,13.0,2.7,5.7,0.124
Apple,Spoiled,25.1,72.0,1745.3,907.5,240.3,70.9,174.2,0.906
Banana,Moderately Fresh,25.9,84.4,554.1,62.0,50.0,11.2,32.7,0.501
Apple,Moderately Fresh,26.1,67.9,516.9,81.5,35.4,10.1,22.7,0.645
Apple,Spoiled,22.5,54.5,1878.6,1294.2,280.0,98.4,225.7,0.719
Apple,Fresh,31.1,72.9,203.5,25.2,14.4,1.3,5.7,0.152
Apple,Moderately Fresh,29.9,62.9,580.5,82.6,22.3,11.9,17.9,0.619
Banana,Spoiled,25.7,89.6,1667.1,1089.3,317.6,100.7,202.2,0.716
Orange,Fresh,29.9,70.8,231.8,36.1,6.5,4.1,4.0,0.091
Orange,Moderately Fresh,29.4,52.6,536.3,73.9,31.4,11.7,28.9,0.314
Orange,Moderately Fresh,29.8,50.5,554.8,78.8,29.4,13.3,9.6,0.46
Apple,Spoiled,14.9,80.1,1506.2,856.4,266.7,84.1,173.6,0.869
Orange,Fresh,28.5,81.3,201.4,18.0,12.0,2.2,7.2,0.228
Banana,Moderately Fresh,31.3,65.7,543.1,93.4,59.1,9.7,38.3,0.439
Apple,Spoiled,15.6,53.9,1326.8,737.7,236.1,74.7,162.3,0.678
Apple,Fresh,22.0,79.7,158.0,24.6,9.6,3.4,5.7,0.128
Orange,Moderately Fresh,23.4,89.4,430.3,98.8,23.5,11.5,25.6,0.421
Banana,Fresh,16.5,71.1,184.3,17.9,12.3,3.6,2.9,0.206
Banana,Spoiled,16.3,77.6,1316.1,1013.4,283.8,73.8,142.8,0.808
Apple,Fresh,13.9,69.4,145.1,13.4,7.3,2.9,4.1,0.117
Apple,Fresh,16.4,50.6,163.9,14.3,9.7,2.8,6.1,0.175
Banana,Moderately Fresh,21.7,70.6,435.8,82.8,35.6,9.9,35.7,0.366
Orange,Spoiled,20.5,63.2,1963.0,1032.9,261.2,100.0,198.4,0.849
Orange,Moderately Fresh,16.5,72.0,458.0,39.9,24.4,7.3,14.1,0.561
Orange,Spoiled,16.9,84.7,1400.4,756.2,190.5,79.6,159.6,0.667
Banana,Fresh,20.4,74.0,166.0,10.8,10.4,3.0,4.7,0.071
Banana,Moderately Fresh,25.2,80.1,519.8,90.9,46.9,11.9,34.7,0.549
Banana,Spoiled,29.5,86.2,1420.0,641.2,293.5,98.5,202.6,0.761
Banana,Spoiled,30.2,72.8,1756.9,1148.4,329.0,87.9,147.8,0.948
Orange,Fresh,28.1,55.5,226.9,14.4,9.3,4.4,6.7,0.216
Banana,Moderately Fresh,18.1,89.3,387.9,86.8,48.4,9.5,34.8,0.573
Orange,Fresh,31.3,87.8,204.3,29.4,6.6,3.7,7.2,0.004
Orange,Moderately Fresh,12.2,66.4,362.7,74.5,15.6,7.2,21.3,0.577
Orange,Moderately Fresh,14.7,87.5,404.8,52.8,11.5,6.8,23.4,0.359
Banana,Spoiled,21.8,58.7,1893.5,901.4,226.7,86.2,158.1,0.98
Apple,Fresh,21.7,87.4,218.9,24.7,11.0,1.9,4.9,0.232
Apple,Fresh,19.2,64.3,143.2,31.9,12.0,2.4,6.6,0.201
Banana,Moderately Fresh,19.4,56.4,425.6,71.9,50.3,12.3,30.0,0.458
Orange,Moderately Fresh,18.2,81.3,410.2,57.0,7.7,8.6,25.6,0.433
Orange,Moderately Fresh,23.1,54.6,571.6,75.6,19.7,12.6,33.6,0.638
Apple,Spoiled,23.0,68.1,1381.3,971.3,219.6,87.5,172.4,0.975
Orange,Fresh,19.6,62.2,139.1,17.5,6.4,3.3,5.6,0.067
Orange,Fresh,22.1,53.3,189.8,12.9,13.4,2.9,7.0,0.048
Banana,Moderately Fresh,29.3,59.7,434.9,79.1,48.8,12.6,51.1,0.579
Orange,Spoiled,24.4,80.8,1233.3,872.0,295.4,93.6,238.7,0.817
Apple,Fresh,25.4,52.9,159.2,27.0,8.3,0.6,4.7,0.038
Banana,Spoiled,28.4,83.7,1374.7,1191.1,294.8,101.1,215.7,0.813
Banana,Spoiled,26.7,64.8,1641.0,1124.5,337.1,94.7,268.0,0.79
Banana,Fresh,23.1,87.2,190.0,20.4,8.3,3.3,6.5,0.132
Orange,Fresh,12.9,52.2,128.4,26.4,4.6,2.1,5.0,0.099
Orange,Fresh,24.4,68.3,237.7,21.7,13.5,3.7,6.2,0.103
Orange,Moderately Fresh,15.9,85.8,350.1,68.7,19.6,11.2,18.4,0.309
Banana,Spoiled,12.6,83.1,1544.2,636.1,240.8,60.2,171.0,0.674
Banana,Moderately Fresh,30.2,79.6,557.1,92.4,51.4,13.6,37.4,0.527
Apple,Moderately Fresh,21.4,84.9,369.8,73.2,35.6,12.1,22.9,0.264
Orange,Fresh,18.3,80.1,198.6,16.8,6.5,3.3,5.8,0.101
Banana,Spoiled,25.0,64.0,1112.9,889.0,245.4,72.8,179.6,0.859
Banana,Fresh,24.6,63.6,242.3,25.5,6.2,6.2,5.4,0.072
Banana,Fresh,22.4,60.7,166.6,22.4,14.4,1.8,7.1,0.12
Banana,Moderately Fresh,12.9,61.9,411.4,50.7,36.3,6.8,25.2,0.464
Orange,Spoiled,13.1,73.9,1170.4,765.3,197.5,81.4,147.1,0.878
Banana,Moderately Fresh,24.9,83.1,583.0,77.1,43.0,12.6,47.7,0.585
Apple,Spoiled,16.1,86.0,1212.9,643.9,232.9,60.3,153.8,0.728
Orange,Spoiled,20.2,85.8,1798.3,809.4,268.8,97.6,198.8,0.952
Banana,Moderately Fresh,13.3,89.0,410.7,43.5,37.8,10.9,30.1,0.631
Orange,Spoiled,13.5,82.8,1429.9,896.5,216.5,95.2,180.1,0.998
Apple,Spoiled,13.7,77.3,1311.3,893.2,261.2,73.8,141.9,0.795
Banana,Moderately Fresh,12.8,57.1,451.6,62.4,44.1,7.0,27.4,0.476
